shot_goalZone,shot_bodyPart,total_shots,goals,xg_sum
bc,head_or_other,107,0,11.507874999999999
bc,left_foot,1069,0,64.15757159999993
bc,right_foot,1671,0,101.81180763000015
gb,head_or_other,85,21,13.935536000000003
gb,left_foot,330,52,53.80659999999998
gb,right_foot,478,91,85.03123800000007
gbr,head_or_other,50,28,9.882179999999998
gbr,left_foot,165,60,21.45679
gbr,right_foot,255,88,41.11940099999998
gc,head_or_other,175,23,27.215790000000002
gc,left_foot,174,33,28.27080000000001
gc,right_foot,278,30,38.085436999999985
gl,head_or_other,94,46,14.154530000000003
gl,left_foot,90,24,10.895734
gl,right_foot,112,39,15.283905000000003
glb,head_or_other,53,26,6.744849
glb,left_foot,165,55,23.37297000000001
glb,right_foot,319,126,44.98974499999998
gr,head_or_other,93,41,13.120670000000004
gr,left_foot,62,19,6.4494203
gr,right_foot,145,45,22.773217999999996
gt,head_or_other,85,17,12.199751999999997
gt,left_foot,66,16,7.289155000000002
gt,right_foot,91,25,12.788341000000004
gtl,head_or_other,27,16,4.40496
gtl,left_foot,49,25,5.201250000000002
gtl,right_foot,29,17,4.487407999999999
gtr,head_or_other,28,12,3.858349999999999
gtr,left_foot,19,13,2.48021
gtr,right_foot,45,31,4.623208
obr,head_or_other,136,0,15.622594999999997
obr,left_foot,251,0,21.897267000000024
obr,right_foot,268,0,28.698205399999978
ol,head_or_other,73,0,9.422205
ol,left_foot,84,0,7.141722900000001
ol,right_foot,52,0,4.765698999999998
olb,head_or_other,136,0,16.889897000000005
olb,left_foot,149,0,16.608823800000003
olb,right_foot,452,0,37.2645462
or,head_or_other,70,0,9.77187
or,left_foot,29,0,3.4833689999999997
or,right_foot,113,0,10.697141300000004
ot,head_or_other,148,0,21.182864000000002
ot,left_foot,143,0,14.887413999999998
ot,right_foot,224,0,23.71849690000003
otl,head_or_other,168,0,24.30369000000001
otl,left_foot,445,0,31.396320499999995
otl,right_foot,151,0,13.827736300000003
otr,head_or_other,178,0,23.000969999999988
otr,left_foot,59,0,5.339907999999999
otr,right_foot,658,0,41.70319009999998
pbr,head_or_other,3,0,0.35685999999999996
pbr,left_foot,19,0,2.56664
pbr,right_foot,14,0,2.74002
pl,head_or_other,6,0,1.32247
pl,left_foot,6,0,1.09303
pl,right_foot,3,0,1.1935
plb,head_or_other,2,0,0.3256
plb,left_foot,15,0,2.61208
plb,right_foot,21,0,4.28791
pr,head_or_other,8,0,1.30915
pr,left_foot,2,0,0.46817
pr,right_foot,10,0,1.48656
pt,head_or_other,11,0,2.7284
pt,left_foot,11,0,1.6560599999999999
pt,right_foot,24,0,3.9255100000000005
ptl,head_or_other,13,0,1.9263400000000002
ptl,left_foot,15,0,1.8838800000000002
ptl,right_foot,15,0,1.5362300000000002
ptr,head_or_other,9,0,1.8825899999999998
ptr,left_foot,1,0,0.1
ptr,right_foot,23,0,2.9484300000000006
